x-axis,1,2,3,
second,Volt,Volt,Volt,Vd
-1.42E-04,-2.16E+00,-6.20E-01,-6.33E-01,0.012890625
-1.41E-04,-2.14E+00,-6.17E-01,-6.30E-01,0.0125
-1.41E-04,-2.13E+00,-6.14E-01,-6.25E-01,0.011328125
-1.40E-04,-2.12E+00,-6.11E-01,-6.20E-01,0.008984375
-1.40E-04,-2.10E+00,-6.06E-01,-6.14E-01,0.00859375
-1.39E-04,-2.08E+00,-5.99E-01,-6.08E-01,0.008984375
-1.39E-04,-2.05E+00,-5.92E-01,-6.01E-01,0.008984375
-1.38E-04,-2.04E+00,-5.85E-01,-5.93E-01,0.00859375
-1.38E-04,-2.01E+00,-5.78E-01,-5.86E-01,0.008203125
-1.37E-04,-1.98E+00,-5.70E-01,-5.77E-01,0.00703125
-1.37E-04,-1.95E+00,-5.64E-01,-5.68E-01,0.004296875
-1.36E-04,-1.93E+00,-5.57E-01,-5.59E-01,0.001953125
-1.36E-04,-1.89E+00,-5.50E-01,-5.49E-01,0.00078125
-1.35E-04,-1.86E+00,-5.41E-01,-5.38E-01,0.00234375
-1.35E-04,-1.83E+00,-5.30E-01,-5.28E-01,0.002734375
-1.34E-04,-1.79E+00,-5.21E-01,-5.16E-01,0.005859375
-1.34E-04,-1.75E+00,-5.11E-01,-5.04E-01,0.00703125
-1.33E-04,-1.71E+00,-4.98E-01,-4.91E-01,0.00703125
-1.33E-04,-1.67E+00,-4.84E-01,-4.77E-01,0.00703125
-1.32E-04,-1.63E+00,-4.70E-01,-4.64E-01,0.005859375
-1.32E-04,-1.59E+00,-4.56E-01,-4.49E-01,0.00703125
-1.31E-04,-1.55E+00,-4.41E-01,-4.34E-01,0.006640625
-1.31E-04,-1.50E+00,-4.27E-01,-4.19E-01,0.0078125
-1.30E-04,-1.46E+00,-4.11E-01,-4.04E-01,0.00703125
-1.30E-04,-1.41E+00,-3.95E-01,-3.88E-01,0.00703125
-1.29E-04,-1.36E+00,-3.77E-01,-3.71E-01,0.005859375
-1.29E-04,-1.31E+00,-3.61E-01,-3.55E-01,0.005859375
-1.28E-04,-1.25E+00,-3.45E-01,-3.38E-01,0.007421875
-1.28E-04,-1.20E+00,-3.27E-01,-3.22E-01,0.00546875
-1.27E-04,-1.15E+00,-3.12E-01,-3.04E-01,0.007421875
-1.27E-04,-1.09E+00,-2.94E-01,-2.86E-01,0.007421875
-1.26E-04,-1.03E+00,-2.78E-01,-2.69E-01,0.009375
-1.26E-04,-9.75E-01,-2.59E-01,-2.50E-01,0.00859375
-1.25E-04,-9.18E-01,-2.41E-01,-2.30E-01,0.01015625
-1.25E-04,-8.61E-01,-2.19E-01,-2.11E-01,0.00859375
-1.24E-04,-8.05E-01,-1.98E-01,-1.92E-01,0.006640625
-1.24E-04,-7.44E-01,-1.81E-01,-1.73E-01,0.008203125
-1.23E-04,-6.86E-01,-1.62E-01,-1.54E-01,0.007421875
-1.23E-04,-6.27E-01,-1.46E-01,-1.35E-01,0.011328125
-1.22E-04,-5.66E-01,-1.27E-01,-1.14E-01,0.0125
-1.22E-04,-5.02E-01,-1.08E-01,-9.53E-02,0.012890625
-1.21E-04,-4.49E-01,-8.75E-02,-7.46E-02,0.012890625
-1.21E-04,-3.87E-01,-6.68E-02,-5.47E-02,0.012109375
-1.20E-04,-3.26E-01,-4.73E-02,-3.59E-02,0.011328125
-1.20E-04,-2.64E-01,-2.93E-02,-1.76E-02,0.01171875
-1.19E-04,-1.93E-01,-1.21E-02,3.52E-03,0.015625
-1.19E-04,-1.43E-01,4.69E-03,2.30E-02,0.018359375
-1.18E-04,-8.01E-02,2.15E-02,4.34E-02,0.021875
-1.18E-04,-2.34E-02,4.18E-02,6.41E-02,0.022265625
-1.17E-04,3.13E-02,5.98E-02,8.36E-02,0.023828125
-1.17E-04,9.18E-02,8.13E-02,1.02E-01,0.02109375
-1.16E-04,1.52E-01,1.00E-01,1.22E-01,0.022265625
-1.16E-04,2.13E-01,1.21E-01,1.41E-01,0.020703125
-1.15E-04,2.71E-01,1.41E-01,1.62E-01,0.02109375
-1.15E-04,3.28E-01,1.61E-01,1.81E-01,0.019921875
-1.14E-04,3.91E-01,1.81E-01,2.00E-01,0.019140625
-1.14E-04,4.49E-01,2.02E-01,2.20E-01,0.017578125
-1.13E-04,5.00E-01,2.17E-01,2.38E-01,0.021484375
-1.13E-04,5.57E-01,2.33E-01,2.56E-01,0.023046875
-1.12E-04,6.07E-01,2.48E-01,2.74E-01,0.025390625
-1.12E-04,6.66E-01,2.65E-01,2.92E-01,0.0265625
-1.11E-04,7.17E-01,2.82E-01,3.08E-01,0.02578125
-1.11E-04,7.68E-01,2.98E-01,3.26E-01,0.027343751
-1.10E-04,8.20E-01,3.15E-01,3.43E-01,0.027734375
-1.10E-04,8.73E-01,3.34E-01,3.59E-01,0.025390625
-1.09E-04,9.22E-01,3.48E-01,3.75E-01,0.026953125
-1.09E-04,9.73E-01,3.66E-01,3.92E-01,0.026171875
-1.08E-04,1.02E+00,3.81E-01,4.07E-01,0.02578125
-1.08E-04,1.07E+00,3.98E-01,4.23E-01,0.025
-1.07E-04,1.11E+00,4.14E-01,4.38E-01,0.023828125
-1.07E-04,1.16E+00,4.28E-01,4.51E-01,0.02265625
-1.06E-04,1.19E+00,4.41E-01,4.64E-01,0.02265625
-1.06E-04,1.23E+00,4.54E-01,4.77E-01,0.02265625
-1.05E-04,1.27E+00,4.68E-01,4.89E-01,0.021484375
-1.05E-04,1.31E+00,4.79E-01,5.01E-01,0.021875
-1.04E-04,1.34E+00,4.91E-01,5.13E-01,0.021484375
-1.04E-04,1.38E+00,5.02E-01,5.24E-01,0.02265625
-1.03E-04,1.41E+00,5.12E-01,5.34E-01,0.02265625
-1.03E-04,1.44E+00,5.23E-01,5.45E-01,0.021875
-1.02E-04,1.47E+00,5.33E-01,5.54E-01,0.02109375
-1.02E-04,1.50E+00,5.43E-01,5.64E-01,0.02109375
-1.01E-04,1.52E+00,5.53E-01,5.73E-01,0.019921875
-1.01E-04,1.54E+00,5.61E-01,5.80E-01,0.01875
-1.00E-04,1.56E+00,5.69E-01,5.88E-01,0.019140625
-9.95E-05,1.58E+00,5.77E-01,5.95E-01,0.017578125
-9.90E-05,1.60E+00,5.83E-01,6.00E-01,0.016796875
-9.85E-05,1.62E+00,5.88E-01,6.06E-01,0.017578125
-9.80E-05,1.64E+00,5.91E-01,6.11E-01,0.01953125
-9.75E-05,1.65E+00,5.95E-01,6.15E-01,0.0203125
-9.70E-05,1.66E+00,5.98E-01,6.19E-01,0.02109375
-9.65E-05,1.67E+00,6.02E-01,6.22E-01,0.0203125
-9.60E-05,1.68E+00,6.02E-01,6.24E-01,0.021484375
-9.55E-05,1.68E+00,6.06E-01,6.27E-01,0.020703125
-9.50E-05,1.68E+00,6.09E-01,6.28E-01,0.019140625
-9.45E-05,1.69E+00,6.10E-01,6.28E-01,0.018359375
-9.40E-05,1.69E+00,6.13E-01,6.28E-01,0.015234375
-9.35E-05,1.68E+00,6.12E-01,6.27E-01,0.015234375
-9.30E-05,1.68E+00,6.11E-01,6.26E-01,0.01484375
-9.25E-05,1.67E+00,6.08E-01,6.24E-01,0.016015625
-9.20E-05,1.66E+00,6.05E-01,6.22E-01,0.01640625
-9.15E-05,1.65E+00,6.02E-01,6.19E-01,0.0171875
-9.10E-05,1.64E+00,5.97E-01,6.15E-01,0.01796875
-9.05E-05,1.63E+00,5.93E-01,6.10E-01,0.017578125
-9.00E-05,1.61E+00,5.88E-01,6.05E-01,0.016796875
-8.95E-05,1.60E+00,5.83E-01,6.01E-01,0.017578125
-8.90E-05,1.58E+00,5.78E-01,5.95E-01,0.01640625
-8.85E-05,1.55E+00,5.73E-01,5.88E-01,0.01484375
-8.80E-05,1.53E+00,5.64E-01,5.80E-01,0.01640625
-8.75E-05,1.51E+00,5.58E-01,5.72E-01,0.013671875
-8.70E-05,1.49E+00,5.50E-01,5.63E-01,0.01328125
-8.65E-05,1.46E+00,5.40E-01,5.55E-01,0.014453125
-8.60E-05,1.43E+00,5.32E-01,5.45E-01,0.012890625
-8.55E-05,1.40E+00,5.24E-01,5.34E-01,0.01015625
-8.50E-05,1.36E+00,5.15E-01,5.24E-01,0.00859375
-8.45E-05,1.33E+00,5.06E-01,5.13E-01,0.006640625
-8.40E-05,1.29E+00,4.95E-01,5.00E-01,0.005078125
-8.35E-05,1.26E+00,4.86E-01,4.89E-01,0.003515625
-8.30E-05,1.22E+00,4.74E-01,4.77E-01,0.002734375
-8.25E-05,1.18E+00,4.64E-01,4.64E-01,0.000390625
-8.20E-05,1.13E+00,4.49E-01,4.50E-01,0.001171875
-8.15E-05,1.09E+00,4.36E-01,4.36E-01,0
-8.10E-05,1.05E+00,4.20E-01,4.21E-01,0.001171875
-8.05E-05,1.00E+00,4.07E-01,4.06E-01,0.00078125
-8.00E-05,9.51E-01,3.88E-01,3.90E-01,0.00234375
-7.95E-05,9.02E-01,3.72E-01,3.74E-01,0.0015625
-7.90E-05,8.52E-01,3.56E-01,3.57E-01,0.0015625
-7.85E-05,7.97E-01,3.39E-01,3.41E-01,0.001953125
-7.80E-05,7.50E-01,3.23E-01,3.24E-01,0.00078125
-7.75E-05,6.91E-01,3.08E-01,3.08E-01,0.000390625
-7.70E-05,6.41E-01,2.93E-01,2.91E-01,0.00234375
-7.65E-05,5.86E-01,2.78E-01,2.73E-01,0.0046875
-7.60E-05,5.25E-01,2.60E-01,2.55E-01,0.005078125
-7.55E-05,4.79E-01,2.43E-01,2.36E-01,0.007421875
-7.50E-05,4.30E-01,2.23E-01,2.18E-01,0.00546875
-7.45E-05,3.63E-01,2.05E-01,2.00E-01,0.005859375
-7.40E-05,3.07E-01,1.88E-01,1.80E-01,0.008203125
-7.35E-05,2.42E-01,1.66E-01,1.60E-01,0.00625
-7.30E-05,1.89E-01,1.44E-01,1.40E-01,0.004296875
-7.25E-05,1.23E-01,1.26E-01,1.20E-01,0.005859375
-7.20E-05,6.25E-02,1.04E-01,1.00E-01,0.00390625
-7.15E-05,7.81E-03,8.52E-02,8.24E-02,0.002734375
-7.10E-05,-4.88E-02,6.48E-02,6.21E-02,0.002734375
-7.05E-05,-1.09E-01,4.38E-02,4.22E-02,0.0015625
-7.00E-05,-1.64E-01,2.58E-02,2.11E-02,0.0046875
-6.95E-05,-2.25E-01,5.08E-03,1.17E-03,0.00390625
-6.90E-05,-2.87E-01,-1.25E-02,-1.84E-02,0.005859375
-6.85E-05,-3.52E-01,-3.01E-02,-3.59E-02,0.005859375
-6.80E-05,-4.16E-01,-4.84E-02,-5.59E-02,0.007421875
-6.75E-05,-4.77E-01,-6.60E-02,-7.62E-02,0.01015625
-6.70E-05,-5.41E-01,-8.63E-02,-9.69E-02,0.010546875
-6.65E-05,-6.02E-01,-1.04E-01,-1.16E-01,0.012109375
-6.60E-05,-6.58E-01,-1.22E-01,-1.36E-01,0.013671875
-6.55E-05,-7.11E-01,-1.41E-01,-1.55E-01,0.013671875
-6.50E-05,-7.68E-01,-1.59E-01,-1.73E-01,0.014453125
-6.45E-05,-8.28E-01,-1.79E-01,-1.93E-01,0.0140625
-6.40E-05,-8.89E-01,-1.98E-01,-2.13E-01,0.014453125
-6.35E-05,-9.41E-01,-2.19E-01,-2.32E-01,0.013671875
-6.30E-05,-1.01E+00,-2.38E-01,-2.51E-01,0.012890625
-6.25E-05,-1.06E+00,-2.57E-01,-2.69E-01,0.012109375
-6.20E-05,-1.12E+00,-2.77E-01,-2.88E-01,0.0109375
-6.15E-05,-1.17E+00,-2.96E-01,-3.05E-01,0.009375
-6.10E-05,-1.22E+00,-3.14E-01,-3.23E-01,0.009765625
-6.05E-05,-1.28E+00,-3.30E-01,-3.40E-01,0.009765625
-6.00E-05,-1.33E+00,-3.47E-01,-3.56E-01,0.00859375
-5.95E-05,-1.38E+00,-3.62E-01,-3.72E-01,0.009765625
