x-axis,1,2,3
second,Volt,Volt,Volt
-4.62000E-06,+1.41015625000E+00,+610.15625909E-03,+593.75000885E-03
-4.61000E-06,+1.41015625000E+00,+611.71875912E-03,+595.70313388E-03
-4.60000E-06,+1.41796875000E+00,+612.50000913E-03,+596.87500889E-03
-4.59000E-06,+1.41796875000E+00,+613.67188414E-03,+598.82813392E-03
-4.58000E-06,+1.41796875000E+00,+614.06250915E-03,+600.00000894E-03
-4.57000E-06,+1.42578125000E+00,+615.23438417E-03,+601.95313397E-03
-4.56000E-06,+1.42578125000E+00,+615.62500917E-03,+603.12500899E-03
-4.55000E-06,+1.42578125000E+00,+616.01563418E-03,+604.29688400E-03
-4.54000E-06,+1.42187500000E+00,+616.01563418E-03,+605.07813402E-03
-4.53000E-06,+1.42578125000E+00,+616.40625919E-03,+605.46875902E-03
-4.52000E-06,+1.42968750000E+00,+617.18750920E-03,+606.64063404E-03
-4.51000E-06,+1.42187500000E+00,+617.18750920E-03,+607.03125905E-03
-4.50000E-06,+1.42578125000E+00,+617.18750920E-03,+607.81250906E-03
-4.49000E-06,+1.42187500000E+00,+616.79688419E-03,+608.59375907E-03
-4.48000E-06,+1.42968750000E+00,+616.40625919E-03,+609.37500908E-03
-4.47000E-06,+1.42187500000E+00,+616.79688419E-03,+609.37500908E-03
-4.46000E-06,+1.42578125000E+00,+616.40625919E-03,+609.76563409E-03
-4.45000E-06,+1.42187500000E+00,+616.01563418E-03,+610.15625909E-03
-4.44000E-06,+1.41796875000E+00,+615.62500917E-03,+609.76563409E-03
-4.43000E-06,+1.41796875000E+00,+615.23438417E-03,+610.54688410E-03
-4.42000E-06,+1.41406250000E+00,+614.45313416E-03,+610.15625909E-03
-4.41000E-06,+1.41796875000E+00,+614.06250915E-03,+609.76563409E-03
-4.40000E-06,+1.41015625000E+00,+613.28125914E-03,+609.76563409E-03
-4.39000E-06,+1.40625000000E+00,+611.71875912E-03,+609.76563409E-03
-4.38000E-06,+1.39843750000E+00,+610.54688410E-03,+608.98438407E-03
-4.37000E-06,+1.39843750000E+00,+608.98438407E-03,+608.59375907E-03
-4.36000E-06,+1.39453125000E+00,+607.81250906E-03,+608.20313406E-03
-4.35000E-06,+1.38671875000E+00,+606.25000903E-03,+607.42188405E-03
-4.34000E-06,+1.37890625000E+00,+604.68750901E-03,+606.64063404E-03
-4.33000E-06,+1.37500000000E+00,+603.12500899E-03,+605.85938403E-03
-4.32000E-06,+1.37109375000E+00,+601.56250896E-03,+605.07813402E-03
-4.31000E-06,+1.36718750000E+00,+600.00000894E-03,+603.90625900E-03
-4.30000E-06,+1.36328125000E+00,+597.65625891E-03,+602.34375898E-03
-4.29000E-06,+1.34765625000E+00,+595.70313388E-03,+601.56250896E-03
-4.28000E-06,+1.34375000000E+00,+594.14063385E-03,+600.39063395E-03
-4.27000E-06,+1.33203125000E+00,+591.79688382E-03,+598.43750892E-03
-4.26000E-06,+1.32812500000E+00,+589.45313378E-03,+597.26563390E-03
-4.25000E-06,+1.32031250000E+00,+587.50000875E-03,+595.31250887E-03
-4.24000E-06,+1.31640625000E+00,+584.76563371E-03,+593.75000885E-03
-4.23000E-06,+1.30468750000E+00,+582.03125867E-03,+591.79688382E-03
-4.22000E-06,+1.29296875000E+00,+579.29688363E-03,+589.84375879E-03
-4.21000E-06,+1.28515625000E+00,+576.56250859E-03,+587.50000875E-03
-4.20000E-06,+1.27343750000E+00,+573.82813355E-03,+585.15625872E-03
-4.19000E-06,+1.26171875000E+00,+571.09375851E-03,+583.20313369E-03
-4.18000E-06,+1.26171875000E+00,+567.57813346E-03,+581.25000866E-03
-4.17000E-06,+1.25000000000E+00,+564.84375842E-03,+578.51563362E-03
-4.16000E-06,+1.24609375000E+00,+561.71875837E-03,+575.78125858E-03
-4.15000E-06,+1.23437500000E+00,+558.20313332E-03,+573.43750854E-03
-4.14000E-06,+1.22265625000E+00,+554.68750827E-03,+570.70313350E-03
