time	V(N004,N003)
5.761719316965698e-004	-3.271224e+000
5.784076128595438e-004	-3.262916e+000
5.820323582833724e-004	-3.104502e+000
5.867407262618702e-004	-2.668191e+000
5.929461791553267e-004	-1.783744e+000
5.984591119840623e-004	-7.888201e-001
6.028460406753050e-004	8.939546e-002
6.073024641748634e-004	9.771158e-001
6.120723885080132e-004	1.830469e+000
6.176458991157136e-004	2.661195e+000
6.200219482200399e-004	2.935296e+000
6.217738774762390e-004	3.083149e+000
6.234483752877188e-004	3.185315e+000
6.252795653816770e-004	3.256880e+000
6.269552124585356e-004	3.279706e+000
6.296806209251162e-004	3.223648e+000
6.340793312910567e-004	2.940269e+000
6.395038526659224e-004	2.310521e+000
6.458353354687843e-004	1.282233e+000
6.505260896333489e-004	3.805433e-001
6.547707995950981e-004	-4.798095e-001
6.590313159569421e-004	-1.299491e+000
6.646685200483611e-004	-2.245965e+000
6.686590477888572e-004	-2.787750e+000
6.707627357361688e-004	-3.003695e+000
6.723294960270112e-004	-3.121615e+000
6.741203769067890e-004	-3.214643e+000
6.761727790689915e-004	-3.271244e+000
6.784089912079634e-004	-3.262886e+000
6.820345828909987e-004	-3.104362e+000
6.867427584456086e-004	-2.667960e+000
6.929489371797848e-004	-1.783290e+000
6.984605685929744e-004	-7.885416e-001
7.028472281611372e-004	8.963779e-002
7.073033467522693e-004	9.772836e-001
7.120739398452728e-004	1.830728e+000
7.176466426497414e-004	2.661290e+000
7.200224881193108e-004	2.935348e+000
7.217742809935148e-004	3.083179e+000
7.234488609471924e-004	3.185338e+000
7.252804276971643e-004	3.256899e+000
7.269566164989792e-004	3.279704e+000
7.296829004968088e-004	3.223558e+000
7.340829816354941e-004	2.939936e+000
7.395084780351908e-004	2.309866e+000
7.458401966473367e-004	1.281340e+000
7.505304567596570e-004	3.796643e-001
7.547750372557858e-004	-4.806628e-001
7.590353768907072e-004	-1.300231e+000
7.646742642570476e-004	-2.246834e+000
7.686610591175777e-004	-2.787992e+000
7.707642161480038e-004	-3.003824e+000
7.723306101361451e-004	-3.121688e+000
7.741217306202725e-004	-3.214703e+000
7.761732835159414e-004	-3.271256e+000
7.784098117477861e-004	-3.262868e+000
7.820359072068881e-004	-3.104278e+000
7.867439704462003e-004	-2.667823e+000
7.929505797914134e-004	-1.783020e+000
7.984614358877127e-004	-7.883758e-001
8.028479352636527e-004	8.978206e-002
8.073038723656736e-004	9.773835e-001
8.120748636788872e-004	1.830883e+000
8.176470853654596e-004	2.661347e+000
8.200228095893522e-004	2.935379e+000
8.217745212592100e-004	3.083196e+000
8.234491501244276e-004	3.185351e+000
8.252809411470612e-004	3.256910e+000
8.269574525087922e-004	3.279703e+000
8.296842578209150e-004	3.223504e+000
8.340851551297970e-004	2.939737e+000
